cik,company.name,form.type,date.filed,accession.number,period.of.report,fiscal.yr.end,filer.no,filer.company.name,filer.cik,sic,irs,state.of.incorp,business.street1,business.street2,business.city,business.state,business.zip,mail.street1,mail.street2,mail.city,mail.state,mail.zip
1013880,TELETECH HOLDINGS INC,10-Q,5/9/17,0001558370-17-004022,3/31/17,1231,1, TELETECH HOLDINGS INC,1013880,7363,841291044, DE,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112
1013880,TELETECH HOLDINGS INC,10-Q,8/7/17,0001558370-17-006144,6/30/17,1231,1, TELETECH HOLDINGS INC,1013880,7363,841291044, DE,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112
1013880,TELETECH HOLDINGS INC,10-Q,11/8/17,0001558370-17-008571,9/30/17,1231,1, TELETECH HOLDINGS INC,1013880,7363,841291044, DE,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112
1013880,TTEC Holdings  Inc ,10-Q,5/10/18,0001558370-18-004606,3/31/18,1231,1," TTEC HOLDINGS, INC.",1013880,7363,841291044, DE,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112
1013880,TTEC Holdings  Inc ,10-Q,8/7/18,0001558370-18-006623,6/30/18,1231,1," TTEC HOLDINGS, INC.",1013880,7363,841291044, DE,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112
1013880,TTEC Holdings  Inc ,10-Q,11/7/18,0001558370-18-008829,9/30/18,1231,1," TTEC HOLDINGS, INC.",1013880,7363,841291044, DE,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112
1013880,TTEC Holdings  Inc ,10-Q,5/7/19,0001558370-19-004291,3/31/19,1231,1," TTEC HOLDINGS, INC.",1013880,7363,841291044, DE,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112
1013880,TTEC Holdings  Inc ,10-Q,8/7/19,0001558370-19-007512,6/30/19,1231,1," TTEC HOLDINGS, INC.",1013880,7363,841291044, DE,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112
1013880,TTEC Holdings  Inc ,10-Q,11/5/19,0001558370-19-010005,9/30/19,1231,1," TTEC HOLDINGS, INC.",1013880,7363,841291044, DE,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112
1013880,TTEC Holdings  Inc ,10-Q,5/4/20,0001558370-20-005048,3/31/20,1231,1," TTEC HOLDINGS, INC.",1013880,7363,841291044, DE,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112
1013880,TTEC Holdings  Inc ,10-Q,8/5/20,0001558370-20-009422,6/30/20,1231,1," TTEC HOLDINGS, INC.",1013880,7363,841291044, DE,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112
1013880,TTEC Holdings  Inc ,10-Q,11/4/20,0001558370-20-012594,9/30/20,1231,1," TTEC HOLDINGS, INC.",1013880,7363,841291044, DE,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112
1013880,TTEC Holdings  Inc ,10-Q,5/4/21,0001558370-21-005727,3/31/21,1231,1," TTEC HOLDINGS, INC.",1013880,7363,841291044, DE,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112
1013880,TTEC Holdings  Inc ,10-Q,8/3/21,0001558370-21-010012,6/30/21,1231,1," TTEC HOLDINGS, INC.",1013880,7363,841291044, DE,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112
1013880,TTEC Holdings  Inc ,10-Q,11/9/21,0001558370-21-015318,9/30/21,1231,1," TTEC HOLDINGS, INC.",1013880,7363,841291044, DE,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112,9197 S PEORIA STREET,,ENGLEWOOD,CO,80112
1016281,CARRIAGE SERVICES INC,10-Q,4/26/17,0001016281-17-000058,3/31/17,1231,1, CARRIAGE SERVICES INC,1016281,7363,760423828, DE,3040 POST OAK BOULEVARD,SUITE 300,HOUSTON,TX,77056,3040 POST OAK BOULEVARD,SUITE 300,HOUSTON,TX,77056
1016281,CARRIAGE SERVICES INC,10-Q,7/28/17,0001016281-17-000084,6/30/17,1231,1, CARRIAGE SERVICES INC,1016281,7363,760423828, DE,3040 POST OAK BOULEVARD,SUITE 300,HOUSTON,TX,77056,3040 POST OAK BOULEVARD,SUITE 300,HOUSTON,TX,77056
1016281,CARRIAGE SERVICES INC,10-Q,10/25/17,0001016281-17-000104,9/30/17,1231,1, CARRIAGE SERVICES INC,1016281,7363,760423828, DE,3040 POST OAK BOULEVARD,SUITE 300,HOUSTON,TX,77056,3040 POST OAK BOULEVARD,SUITE 300,HOUSTON,TX,77056
1016281,CARRIAGE SERVICES INC,10-Q,4/27/18,0001016281-18-000058,3/31/18,1231,1, CARRIAGE SERVICES INC,1016281,7363,760423828, DE,3040 POST OAK BOULEVARD,SUITE 300,HOUSTON,TX,77056,3040 POST OAK BOULEVARD,SUITE 300,HOUSTON,TX,77056
1016281,CARRIAGE SERVICES INC,10-Q,7/31/18,0001016281-18-000084,6/30/18,1231,1, CARRIAGE SERVICES INC,1016281,7363,760423828, DE,3040 POST OAK BOULEVARD,SUITE 300,HOUSTON,TX,77056,3040 POST OAK BOULEVARD,SUITE 300,HOUSTON,TX,77056
1016281,CARRIAGE SERVICES INC,10-Q,11/1/18,0001016281-18-000115,9/30/18,1231,1, CARRIAGE SERVICES INC,1016281,7363,760423828, DE,3040 POST OAK BOULEVARD,SUITE 300,HOUSTON,TX,77056,3040 POST OAK BOULEVARD,SUITE 300,HOUSTON,TX,77056
1016281,CARRIAGE SERVICES INC,10-Q,5/2/19,0001016281-19-000065,3/31/19,1231,1, CARRIAGE SERVICES INC,1016281,7363,760423828, DE,3040 POST OAK BOULEVARD,SUITE 300,HOUSTON,TX,77056,3040 POST OAK BOULEVARD,SUITE 300,HOUSTON,TX,77056
1016281,CARRIAGE SERVICES INC,10-Q,8/1/19,0001016281-19-000085,6/30/19,1231,1, CARRIAGE SERVICES INC,1016281,7363,760423828, DE,3040 POST OAK BOULEVARD,SUITE 300,HOUSTON,TX,77056,3040 POST OAK BOULEVARD,SUITE 300,HOUSTON,TX,77056
