,Date,Value,Ticker
0,,,TTEC
1,2021-09-30,134.33,TTEC
2,2021-06-30,109.28,TTEC
3,2021-03-31,58.25,TTEC
4,2020-12-31,212.17,TTEC
5,2020-09-30,138.97,TTEC
6,2020-06-30,73.38,TTEC
7,2020-03-31,45.37,TTEC
8,2019-12-31,177.60,TTEC
9,2019-09-30,140.31,TTEC
10,2019-06-30,93.17,TTEC
11,2019-03-31,66.78,TTEC
12,2018-12-31,124.93,TTEC
13,2018-09-30,134.29,TTEC
14,2018-06-30,87.83,TTEC
15,2018-03-31,59.88,TTEC
16,2017-12-31,61.23,TTEC
17,2017-09-30,105.74,TTEC
18,2017-06-30,95.89,TTEC
19,2017-03-31,62.91,TTEC
20,2016-12-31,61.11,TTEC
21,2016-09-30,72.07,TTEC
22,2016-06-30,27.37,TTEC
23,2016-03-31,-2.16,TTEC
24,2015-12-31,71.61,TTEC
25,2015-09-30,67.10,TTEC
26,2015-06-30,56.12,TTEC
27,2015-03-31,-9.22,TTEC
28,2014-12-31,26.58,TTEC
29,2014-09-30,9.81,TTEC
30,2014-06-30,-2.72,TTEC
31,2014-03-31,-1.42,TTEC
32,2013-12-31,87.62,TTEC
33,2013-09-30,44.78,TTEC
34,2013-06-30,26.55,TTEC
35,2013-03-31,2.39,TTEC
36,2012-12-31,66.83,TTEC
37,2012-09-30,30.71,TTEC
38,2012-06-30,31.51,TTEC
39,2012-03-31,8.29,TTEC
40,2011-12-31,77.52,TTEC
41,2011-09-30,20.53,TTEC
42,2011-06-30,37.95,TTEC
43,2011-03-31,20.74,TTEC
44,2010-12-31,107.66,TTEC
45,2010-09-30,102.57,TTEC
46,2010-06-30,62.32,TTEC
47,2010-03-31,44.82,TTEC
48,2009-12-31,135.70,TTEC
49,2009-09-30,133.59,TTEC
50,2009-06-30,79.54,TTEC
51,2009-03-31,45.56,TTEC
52,,,CSV
53,2021-09-30,54.45,CSV
54,2021-06-30,32.69,CSV
55,2021-03-31,22.11,CSV
56,2020-12-31,76.26,CSV
57,2020-09-30,57.79,CSV
58,2020-06-30,25.22,CSV
59,2020-03-31,10.81,CSV
60,2019-12-31,28.80,CSV
61,2019-09-30,24.58,CSV
62,2019-06-30,13.36,CSV
63,2019-03-31,7.55,CSV
64,2018-12-31,35.47,CSV
65,2018-09-30,29.68,CSV
66,2018-06-30,21.20,CSV
67,2018-03-31,12.82,CSV
68,2017-12-31,28.84,CSV
69,2017-09-30,17.38,CSV
70,2017-06-30,11.46,CSV
71,2017-03-31,4.43,CSV
72,2016-12-31,31.32,CSV
73,2016-09-30,17.50,CSV
74,2016-06-30,11.45,CSV
75,2016-03-31,7.19,CSV
76,2015-12-31,15.66,CSV
77,2015-09-30,14.15,CSV
78,2015-06-30,6.97,CSV
79,2015-03-31,6.22,CSV
80,2014-12-31,12.89,CSV
81,2014-09-30,9.49,CSV
82,2014-06-30,3.63,CSV
83,2014-03-31,-6.67,CSV
84,2013-12-31,29.15,CSV
85,2013-09-30,23.79,CSV
86,2013-06-30,18.35,CSV
87,2013-03-31,7.31,CSV
88,2012-12-31,15.33,CSV
89,2012-09-30,7.44,CSV
90,2012-06-30,7.72,CSV
91,2012-03-31,0.43,CSV
92,2011-12-31,20.51,CSV
93,2011-09-30,17.53,CSV
94,2011-06-30,11.15,CSV
95,2011-03-31,1.68,CSV
96,2010-12-31,15.86,CSV
97,2010-09-30,10.06,CSV
98,2010-06-30,10.53,CSV
99,2010-03-31,1.02,CSV
100,2009-12-31,6.79,CSV
101,2009-09-30,1.92,CSV
102,2009-06-30,3.79,CSV
103,2009-03-31,-2.27,CSV
104,,,PPBI
105,2021-09-30,250.38,PPBI
106,2021-06-30,167.33,PPBI
107,2021-03-31,103.84,PPBI
108,2020-12-31,200.93,PPBI
109,2020-09-30,162.47,PPBI
110,2020-06-30,96.67,PPBI
111,2020-03-31,40.72,PPBI
112,2019-12-31,178.61,PPBI
113,2019-09-30,126.02,PPBI
114,2019-06-30,80.96,PPBI
115,2019-03-31,42.15,PPBI
116,2018-12-31,186.20,PPBI
117,2018-09-30,129.96,PPBI
118,2018-06-30,109.91,PPBI
119,2018-03-31,33.22,PPBI
120,2017-12-31,65.21,PPBI
121,2017-09-30,37.50,PPBI
122,2017-06-30,43.00,PPBI
123,2017-03-31,7.37,PPBI
124,2016-12-31,61.53,PPBI
125,2016-09-30,39.55,PPBI
126,2016-06-30,26.97,PPBI
127,2016-03-31,10.61,PPBI
128,2015-12-31,23.29,PPBI
129,2015-09-30,14.91,PPBI
130,2015-06-30,6.09,PPBI
131,2015-03-31,-0.17,PPBI
132,2014-12-31,11.74,PPBI
133,2014-09-30,9.78,PPBI
134,2014-06-30,2.35,PPBI
135,2014-03-31,-1.43,PPBI
136,2013-12-31,11.92,PPBI
137,2013-09-30,7.73,PPBI
138,2013-06-30,5.75,PPBI
139,2013-03-31,-0.62,PPBI
140,2012-12-31,7.64,PPBI
141,2012-09-30,-1.16,PPBI
142,2012-06-30,2.74,PPBI
143,2012-03-31,1.57,PPBI
144,2011-12-31,9.18,PPBI
145,2011-09-30,8.61,PPBI
146,2011-06-30,3.54,PPBI
147,2011-03-31,-1.39,PPBI
148,2010-12-31,8.90,PPBI
149,2010-09-30,4.46,PPBI
150,2010-06-30,5.27,PPBI
151,2010-03-31,2.16,PPBI
152,2009-12-31,5.56,PPBI
153,2009-09-30,6.73,PPBI
154,2009-06-30,4.33,PPBI
155,2009-03-31,1.33,PPBI
156,,,AEL
157,2021-09-30,622.23,AEL
158,2021-06-30,614.46,AEL
159,2021-03-31,468.16,AEL
160,2020-12-31,"1,291.75",AEL
161,2020-09-30,342.79,AEL
162,2020-06-30,-339.52,AEL
163,2020-03-31,"-1,174.81",AEL
164,2019-12-31,"3,347.38",AEL
165,2019-09-30,"2,285.13",AEL
166,2019-06-30,"1,869.83",AEL
167,2019-03-31,"1,111.27",AEL
168,2018-12-31,38.90,AEL
169,2018-09-30,582.73,AEL
170,2018-06-30,-146.36,AEL
171,2018-03-31,-444.28,AEL
172,2017-12-31,"1,919.04",AEL
173,2017-09-30,"1,262.09",AEL
174,2017-06-30,828.91,AEL
175,2017-03-31,496.65,AEL
176,2016-12-31,"1,415.19",AEL
177,2016-09-30,943.63,AEL
178,2016-06-30,421.87,AEL
179,2016-03-31,141.37,AEL
180,2015-12-31,503.49,AEL
181,2015-09-30,70.18,AEL
182,2015-06-30,264.91,AEL
183,2015-03-31,-140.51,AEL
184,2014-12-31,706.43,AEL
185,2014-09-30,486.58,AEL
186,2014-06-30,394.76,AEL
187,2014-03-31,47.96,AEL
188,2013-12-31,861.72,AEL
189,2013-09-30,603.80,AEL
190,2013-06-30,490.98,AEL
191,2013-03-31,369.54,AEL
192,2012-12-31,783.58,AEL
193,2012-09-30,829.27,AEL
194,2012-06-30,500.15,AEL
195,2012-03-31,457.53,AEL
196,2011-12-31,272.53,AEL
197,2011-09-30,95.40,AEL
198,2011-06-30,181.99,AEL
199,2011-03-31,237.05,AEL
200,2010-12-31,415.16,AEL
201,2010-09-30,130.37,AEL
202,2010-06-30,9.29,AEL
203,2010-03-31,178.69,AEL
204,2009-12-31,513.58,AEL
205,2009-09-30,258.16,AEL
206,2009-06-30,95.27,AEL
207,2009-03-31,59.33,AEL
208,,,RHP
209,2021-09-30,-65.49,RHP
210,2021-06-30,-103.39,RHP
211,2021-03-31,-68.72,RHP
212,2020-12-31,-326.99,RHP
213,2020-09-30,-236.91,RHP
214,2020-06-30,-193.94,RHP
215,2020-03-31,-38.50,RHP
216,2019-12-31,202.15,RHP
217,2019-09-30,121.54,RHP
218,2019-06-30,69.55,RHP
219,2019-03-31,5.69,RHP
220,2018-12-31,133.70,RHP
221,2018-09-30,92.47,RHP
222,2018-06-30,36.36,RHP
223,2018-03-31,-3.66,RHP
224,2017-12-31,113.27,RHP
225,2017-09-30,88.62,RHP
226,2017-06-30,34.44,RHP
227,2017-03-31,0.61,RHP
228,2016-12-31,175.62,RHP
229,2016-09-30,114.56,RHP
230,2016-06-30,71.02,RHP
231,2016-03-31,40.03,RHP
232,2015-12-31,158.25,RHP
233,2015-09-30,91.26,RHP
234,2015-06-30,40.44,RHP
235,2015-03-31,-11.17,RHP
236,2014-12-31,193.85,RHP
237,2014-09-30,106.49,RHP
238,2014-06-30,55.94,RHP
239,2014-03-31,12.35,RHP
240,2013-12-31,100.74,RHP
241,2013-09-30,40.72,RHP
242,2013-06-30,-24.09,RHP
243,2013-03-31,-57.00,RHP
244,2012-12-31,81.24,RHP
245,2012-09-30,51.12,RHP
246,2012-06-30,20.36,RHP
247,2012-03-31,-15.82,RHP
248,2011-12-31,21.33,RHP
249,2011-09-30,-10.92,RHP
250,2011-06-30,-21.79,RHP
251,2011-03-31,-45.48,RHP
252,2010-12-31,-55.16,RHP
253,2010-09-30,-21.23,RHP
254,2010-06-30,27.11,RHP
255,2010-03-31,19.94,RHP
256,2009-12-31,69.99,RHP
257,2009-09-30,32.29,RHP
258,2009-06-30,10.93,RHP
259,2009-03-31,-26.50,RHP
260,,,LXFR
261,2021-09-30,52.20,LXFR
262,2021-06-30,20.80,LXFR
263,2021-03-31,13.80,LXFR
264,2020-12-31,41.60,LXFR
265,2020-09-30,32.00,LXFR
266,2020-06-30,5.10,LXFR
267,2020-03-31,-7.00,LXFR
268,2019-12-31,-6.10,LXFR
269,2019-09-30,-22.70,LXFR
270,2019-06-30,-21.50,LXFR
271,2019-03-31,-11.00,LXFR
272,2018-12-31,49.40,LXFR
273,2018-09-30,31.70,LXFR
274,2018-06-30,17.50,LXFR
275,2018-03-31,7.00,LXFR
276,2017-12-31,28.40,LXFR
277,2017-09-30,22.20,LXFR
278,2017-06-30,14.70,LXFR
279,2017-03-31,7.30,LXFR
280,2016-12-31,13.10,LXFR
281,2016-09-30,7.90,LXFR
282,2016-06-30,5.70,LXFR
283,2016-03-31,-0.20,LXFR
284,2015-12-31,37.50,LXFR
285,2015-09-30,28.90,LXFR
286,2015-06-30,19.20,LXFR
287,2015-03-31,5.40,LXFR
288,2014-12-31,2.60,LXFR
289,2014-09-30,-7.10,LXFR
290,2014-06-30,-11.30,LXFR
291,2014-03-31,-1.80,LXFR
292,2013-12-31,13.00,LXFR
293,2013-09-30,15.70,LXFR
294,2013-06-30,8.60,LXFR
295,2013-03-31,5.70,LXFR
296,2012-12-31,49.70,LXFR
297,2012-09-30,41.70,LXFR
298,2012-06-30,,LXFR
299,2012-03-31,,LXFR
300,2011-12-31,,LXFR
301,,,MELI
302,2021-09-30,-160.30,MELI
303,2021-06-30,-263.74,MELI
304,2021-03-31,-375.67,MELI
305,2020-12-31,935.78,MELI
306,2020-09-30,766.47,MELI
307,2020-06-30,469.85,MELI
308,2020-03-31,-130.83,MELI
309,2019-12-31,314.29,MELI
310,2019-09-30,272.09,MELI
311,2019-06-30,94.56,MELI
312,2019-03-31,105.44,MELI
313,2018-12-31,133.35,MELI
314,2018-09-30,126.54,MELI
315,2018-06-30,60.64,MELI
316,2018-03-31,-59.94,MELI
317,2017-12-31,194.16,MELI
318,2017-09-30,190.33,MELI
319,2017-06-30,191.82,MELI
320,2017-03-31,91.98,MELI
321,2016-12-31,113.32,MELI
322,2016-09-30,86.04,MELI
323,2016-06-30,7.30,MELI
324,2016-03-31,-27.23,MELI
325,2015-12-31,158.84,MELI
326,2015-09-30,74.44,MELI
327,2015-06-30,73.05,MELI
328,2015-03-31,30.86,MELI
329,2014-12-31,162.37,MELI
330,2014-09-30,113.99,MELI
331,2014-06-30,73.27,MELI
332,2014-03-31,20.66,MELI
333,2013-12-31,28.76,MELI
334,2013-09-30,46.75,MELI
335,2013-06-30,21.07,MELI
336,2013-03-31,27.23,MELI
337,2012-12-31,123.14,MELI
338,2012-09-30,72.03,MELI
339,2012-06-30,50.17,MELI
340,2012-03-31,15.29,MELI
341,2011-12-31,70.50,MELI
342,2011-09-30,45.21,MELI
343,2011-06-30,20.49,MELI
344,2011-03-31,12.28,MELI
345,2010-12-31,54.68,MELI
346,2010-09-30,31.44,MELI
347,2010-06-30,22.19,MELI
348,2010-03-31,10.06,MELI
349,2009-12-31,45.90,MELI
350,2009-09-30,24.01,MELI
351,2009-06-30,10.84,MELI
352,2009-03-31,3.13,MELI
353,,,EQIX
354,2021-09-30,-299.36,EQIX
355,2021-06-30,-353.11,EQIX
356,2021-03-31,-226.18,EQIX
